[ 5131.299438] [i] Total hammer attempts per row: 1637815
[ 5131.303833] PUF Read:0x00000000 at 0xa000829c
[ 5131.303833] PUF Read:0x00000000 at 0xa00082a0
[ 5131.303894] PUF Read:0x00001000 at 0xa00082a4
[ 5131.303894] PUF Read:0x00000000 at 0xa00082a8
[ 5131.303955] PUF Read:0x00000000 at 0xa00082ac
[ 5131.303985] PUF Read:0x00000000 at 0xa00082b0
[ 5131.303985] PUF Read:0x00000000 at 0xa00082b4
[ 5131.303985] PUF Read:0x00000040 at 0xa00082b8
[ 5131.304046] PUF Read:0x01000000 at 0xa00082bc
[ 5131.304046] PUF Read:0x00000000 at 0xa00082c0
[ 5131.304107] PUF Read:0x00000000 at 0xa00082c4
[ 5131.304138] PUF Read:0x10000000 at 0xa00082c8
[ 5131.304138] PUF Read:0x00000000 at 0xa00082cc
[ 5131.304138] PUF Read:0x00100000 at 0xa00082d0
[ 5131.304199] PUF Read:0x00000000 at 0xa00082d4
[ 5131.304199] PUF Read:0x40000000 at 0xa00082d8
[ 5131.304260] PUF Read:0x00004000 at 0xa00082dc
[ 5131.304290] PUF Read:0x00000000 at 0xa00082e0
[ 5131.304290] PUF Read:0x00000400 at 0xa00082e4
[ 5131.304290] PUF Read:0x00000100 at 0xa00082e8
[ 5131.304351] PUF Read:0x00000001 at 0xa00082ec
[ 5131.304351] PUF Read:0x00000001 at 0xa00082f0
[ 5131.304412] PUF Read:0x00000000 at 0xa00082f4
[ 5131.304443] PUF Read:0x00000000 at 0xa00082f8
[ 5131.304443] PUF Read:0x00000000 at 0xa00082fc
[ 5131.304443] PUF Read:0x00000100 at 0xa0008300
[ 5131.304504] PUF Read:0x00000000 at 0xa0008304
[ 5131.304504] PUF Read:0x00000000 at 0xa0008308
[ 5131.304565] PUF Read:0x00000000 at 0xa000830c
[ 5131.304595] PUF Read:0x00000000 at 0xa0008310
[ 5131.304595] PUF Read:0x00000010 at 0xa0008314
[ 5131.304595] PUF Read:0x01500000 at 0xa0008318
[ 5131.304656] PUF Read:0x10000000 at 0xa000831c
[ 5131.304656] PUF Read:0x00000000 at 0xa0008320
[ 5131.304718] PUF Read:0x00000100 at 0xa0008324
[ 5131.304718] PUF Read:0x00000000 at 0xa0008328
[ 5131.304718] PUF Read:0x00010000 at 0xa000832c
[ 5131.304718] PUF Read:0x00000004 at 0xa0008330
[ 5131.304718] PUF Read:0x00000100 at 0xa0008334
[ 5131.304718] PUF Read:0x00001000 at 0xa0008338
[ 5131.304870] PUF Read:0x00000000 at 0xa000833c
[ 5131.304901] PUF Read:0x10000100 at 0xa0008340
[ 5131.304901] PUF Read:0x00000001 at 0xa0008344
[ 5131.304901] PUF Read:0x00000000 at 0xa0008348
[ 5131.304962] PUF Read:0x00000100 at 0xa000834c
[ 5131.304962] PUF Read:0x00000000 at 0xa0008350
[ 5131.305023] PUF Read:0x00000000 at 0xa0008354
[ 5131.305053] PUF Read:0x00000000 at 0xa0008358
[ 5131.305053] PUF Read:0x00001000 at 0xa000835c
[ 5131.305053] PUF Read:0x00010000 at 0xa0008360
[ 5131.305053] PUF Read:0x00000040 at 0xa0008364
[ 5131.305053] PUF Read:0x00000000 at 0xa0008368
[ 5131.305053] PUF Read:0x00000400 at 0xa000836c
[ 5131.305206] PUF Read:0x00000000 at 0xa0008370
[ 5131.305206] PUF Read:0x00000000 at 0xa0008374
[ 5131.305206] PUF Read:0x40000000 at 0xa0008378
[ 5131.305206] PUF Read:0x00000000 at 0xa000837c
[ 5131.305297] PUF Read:0x00000000 at 0xa0008380
[ 5131.305297] PUF Read:0x00000000 at 0xa0008384
[ 5131.305358] PUF Read:0x00000004 at 0xa0008388
[ 5131.305358] PUF Read:0x00000000 at 0xa000838c
[ 5131.305358] PUF Read:0x00000001 at 0xa0008390
[ 5131.305358] PUF Read:0x00000100 at 0xa0008394
[ 5131.305358] PUF Read:0x10000000 at 0xa0008398
[ 5131.305358] PUF Read:0x00000004 at 0xa000839c
[ 5131.305511] PUF Read:0x00000000 at 0xa00083a0
[ 5131.305511] PUF Read:0x00000000 at 0xa00083a4
[ 5131.305511] PUF Read:0x40000000 at 0xa00083a8
[ 5131.305511] PUF Read:0x00001000 at 0xa00083ac
[ 5131.305511] PUF Read:0x00000000 at 0xa00083b0
[ 5131.305511] PUF Read:0x00000000 at 0xa00083b4
[ 5131.305664] PUF Read:0x00000000 at 0xa00083b8
[ 5131.305664] PUF Read:0x00000000 at 0xa00083bc
[ 5131.305664] PUF Read:0x00000000 at 0xa00083c0
[ 5131.305664] PUF Read:0x04000000 at 0xa00083c4
[ 5131.305664] PUF Read:0x00000000 at 0xa00083c8
[ 5131.305786] PUF Read:0x00000000 at 0xa00083cc
[ 5131.305816] PUF Read:0x00000000 at 0xa00083d0
[ 5131.305816] PUF Read:0x00010000 at 0xa00083d4
[ 5131.305816] PUF Read:0x00000000 at 0xa00083d8
[ 5131.305816] PUF Read:0x00000000 at 0xa00083dc
[ 5131.305816] PUF Read:0x00140000 at 0xa00083e0
[ 5131.305816] PUF Read:0x10000000 at 0xa00083e4
[ 5131.305969] PUF Read:0x04000000 at 0xa00083e8
[ 5131.305969] PUF Read:0x00000000 at 0xa00083ec
[ 5131.305969] PUF Read:0x00000400 at 0xa00083f0
[ 5131.305969] PUF Read:0x04000000 at 0xa00083f4
[ 5131.305969] PUF Read:0x00000004 at 0xa00083f8
[ 5131.305969] PUF Read:0x00044000 at 0xa00083fc
[ 5131.306121] PUF Read:0x00000440 at 0xa0010000
[ 5131.306152] PUF Read:0x00000000 at 0xa0010004
[ 5131.306152] PUF Read:0x00000000 at 0xa0010008
[ 5131.306152] PUF Read:0x00004000 at 0xa001000c
[ 5131.306213] PUF Read:0x00000000 at 0xa0010010
[ 5131.306213] PUF Read:0x01400000 at 0xa0010014
[ 5131.306274] PUF Read:0x01000000 at 0xa0010018
[ 5131.306304] PUF Read:0x04000000 at 0xa001001c
[ 5131.306304] PUF Read:0x00000100 at 0xa0010020
[ 5131.306304] PUF Read:0x04000000 at 0xa0010024
[ 5131.306365] PUF Read:0x00000000 at 0xa0010028
[ 5131.306365] PUF Read:0x00000000 at 0xa001002c
[ 5131.306427] PUF Read:0x00000000 at 0xa0010030
[ 5131.306427] PUF Read:0x00400040 at 0xa0010034
[ 5131.306427] PUF Read:0x00000004 at 0xa0010038
[ 5131.306427] PUF Read:0x00000000 at 0xa001003c
[ 5131.306427] PUF Read:0x00000000 at 0xa0010040
[ 5131.306427] PUF Read:0x04000010 at 0xa0010044
[ 5131.306579] PUF Read:0x00000000 at 0xa0010048
[ 5131.306579] PUF Read:0x41000000 at 0xa001004c
[ 5131.306579] PUF Read:0x00000000 at 0xa0010050
[ 5131.306671] PUF Read:0x00000000 at 0xa0010054
[ 5131.306671] PUF Read:0x00000000 at 0xa0010058
[ 5131.306671] PUF Read:0x00100400 at 0xa001005c
[ 5131.306732] PUF Read:0x00100000 at 0xa0010060
[ 5131.306762] PUF Read:0x00000000 at 0xa0010064
[ 5131.306762] PUF Read:0x00000000 at 0xa0010068
[ 5131.306823] PUF Read:0x00000000 at 0xa001006c
[ 5131.306823] PUF Read:0x00000000 at 0xa0010070
[ 5131.306823] PUF Read:0x00000000 at 0xa0010074
[ 5131.306884] PUF Read:0x00000040 at 0xa0010078
[ 5131.306915] PUF Read:0x00000000 at 0xa001007c
[ 5131.306915] PUF Read:0x00000100 at 0xa0010080
[ 5131.306976] PUF Read:0x00000000 at 0xa0010084
[ 5131.306976] PUF Read:0x00100000 at 0xa0010088
[ 5131.306976] PUF Read:0x00010000 at 0xa001008c
[ 5131.307037] PUF Read:0x00000000 at 0xa0010090
[ 5131.307067] PUF Read:0x00000000 at 0xa0010094
[ 5131.307067] PUF Read:0x00000000 at 0xa0010098
[ 5131.307128] PUF Read:0x00000000 at 0xa001009c
[ 5131.307159] PUF Read:0x00000000 at 0xa00100a0
[ 5131.308441] PUF Read:0x00000000 at 0xa00100a4
[ 5131.308471] PUF Read:0x00000000 at 0xa00100a8
[ 5131.308471] PUF Read:0x40000000 at 0xa00100ac
[ 5131.308471] PUF Read:0x04000000 at 0xa00100b0
[ 5131.308471] PUF Read:0x00000000 at 0xa00100b4
[ 5131.308563] PUF Read:0x00000000 at 0xa00100b8
[ 5131.308563] PUF Read:0x00000000 at 0xa00100bc
[ 5131.308624] PUF Read:0x00000000 at 0xa00100c0
[ 5131.308654] PUF Read:0x00000040 at 0xa00100c4
[ 5131.308654] PUF Read:0x00000000 at 0xa00100c8
[ 5131.308654] PUF Read:0x01000010 at 0xa00100cc
[ 5131.308715] PUF Read:0x00400100 at 0xa00100d0
[ 5131.308715] PUF Read:0x00000000 at 0xa00100d4
[ 5131.308776] PUF Read:0x00040000 at 0xa00100d8
[ 5131.308807] PUF Read:0x00000000 at 0xa00100dc
[ 5131.308807] PUF Read:0x00000000 at 0xa00100e0
[ 5131.308807] PUF Read:0x00004400 at 0xa00100e4
[ 5131.308868] PUF Read:0x00000000 at 0xa00100e8
[ 5131.308868] PUF Read:0x04000000 at 0xa00100ec
[ 5131.308929] PUF Read:0x00000000 at 0xa00100f0
[ 5131.308959] PUF Read:0x00000000 at 0xa00100f4
[ 5131.308959] PUF Read:0x00000000 at 0xa00100f8
[ 5131.308959] PUF Read:0x00050000 at 0xa00100fc
[ 5131.309020] PUF Read:0x00000000 at 0xa0010100
[ 5131.309020] PUF Read:0x10000000 at 0xa0010104
[ 5131.309082] PUF Read:0x00000000 at 0xa0010108
[ 5131.309112] PUF Read:0x04150000 at 0xa001010c
[ 5131.309112] PUF Read:0x00000001 at 0xa0010110
[ 5131.309112] PUF Read:0x00000000 at 0xa0010114
[ 5131.309173] PUF Read:0x00000000 at 0xa0010118
[ 5131.309173] PUF Read:0x10000000 at 0xa001011c
[ 5131.309234] PUF Read:0x04000000 at 0xa0010120
[ 5131.309265] PUF Read:0x00040000 at 0xa0010124
[ 5131.309265] PUF Read:0x00000000 at 0xa0010128
[ 5131.309265] PUF Read:0x00000000 at 0xa001012c
[ 5131.309326] PUF Read:0x00000000 at 0xa0010130
[ 5131.309326] PUF Read:0x10004000 at 0xa0010134
[ 5131.309387] PUF Read:0x10000000 at 0xa0010138
[ 5131.309417] PUF Read:0x00000000 at 0xa001013c
[ 5131.309417] PUF Read:0x04400000 at 0xa0010140
[ 5131.309417] PUF Read:0x00000001 at 0xa0010144
[ 5131.309478] PUF Read:0x00000000 at 0xa0010148
[ 5131.309478] PUF Read:0x00000000 at 0xa001014c
[ 5131.309539] PUF Read:0x00000000 at 0xa0010150
[ 5131.309539] PUF Read:0x00000000 at 0xa0010154
[ 5131.309539] PUF Read:0x00000000 at 0xa0010158
[ 5131.309539] PUF Read:0x00000000 at 0xa001015c
[ 5131.309539] PUF Read:0x00004000 at 0xa0010160
[ 5131.309661] PUF Read:0x00000000 at 0xa0010164
[ 5131.309692] PUF Read:0x00000000 at 0xa0010168
[ 5131.309692] PUF Read:0x00000100 at 0xa001016c
[ 5131.309692] PUF Read:0x00000040 at 0xa0010170
[ 5131.309753] PUF Read:0x04010400 at 0xa0010174
[ 5131.309753] PUF Read:0x01004000 at 0xa0010178
[ 5131.309814] PUF Read:0x00000000 at 0xa001017c
[ 5131.309844] PUF Read:0x00000000 at 0xa0010180
[ 5131.309844] PUF Read:0x00000100 at 0xa0010184
[ 5131.309844] PUF Read:0x00000000 at 0xa0010188
[ 5131.309906] PUF Read:0x00000000 at 0xa001018c
[ 5131.309906] PUF Read:0x01000000 at 0xa0010190
[ 5131.309967] PUF Read:0x00000000 at 0xa0010194
[ 5131.309997] PUF Read:0x00000000 at 0xa0010198
[ 5131.309997] PUF Read:0x00000000 at 0xa001019c
[ 5131.309997] PUF Read:0x00010000 at 0xa00101a0
[ 5131.310058] PUF Read:0x00000000 at 0xa00101a4
[ 5131.310058] PUF Read:0x00000000 at 0xa00101a8
[ 5131.310119] PUF Read:0x00000000 at 0xa00101ac
[ 5131.310150] PUF Read:0x00000000 at 0xa00101b0
[ 5131.310150] PUF Read:0x00400000 at 0xa00101b4
[ 5131.310211] PUF Read:0x00000000 at 0xa00101b8
[ 5131.310211] PUF Read:0x00000000 at 0xa00101bc
[ 5131.310211] PUF Read:0x00000000 at 0xa00101c0
[ 5131.310272] PUF Read:0x00000400 at 0xa00101c4
[ 5131.310302] PUF Read:0x00000000 at 0xa00101c8
[ 5131.310302] PUF Read:0x00000000 at 0xa00101cc
[ 5131.310302] PUF Read:0x00000000 at 0xa00101d0
[ 5131.310363] PUF Read:0x00000000 at 0xa00101d4
[ 5131.310363] PUF Read:0x00000100 at 0xa00101d8
[ 5131.310424] PUF Read:0x04000000 at 0xa00101dc
[ 5131.310455] PUF Read:0x00000001 at 0xa00101e0
[ 5131.310455] PUF Read:0x10000000 at 0xa00101e4
[ 5131.310455] PUF Read:0x40000000 at 0xa00101e8
[ 5131.310516] PUF Read:0x00000000 at 0xa00101ec
[ 5131.310516] PUF Read:0x10000000 at 0xa00101f0
[ 5131.310577] PUF Read:0x00000000 at 0xa00101f4
[ 5131.310607] PUF Read:0x00000000 at 0xa00101f8
[ 5131.310607] PUF Read:0x00000000 at 0xa00101fc
[ 5131.310607] PUF Read:0x00001000 at 0xa0010200
[ 5131.310668] PUF Read:0x00000000 at 0xa0010204
[ 5131.310668] PUF Read:0x00000000 at 0xa0010208
[ 5131.310729] PUF Read:0x00000004 at 0xa001020c
[ 5131.310760] PUF Read:0x00000000 at 0xa0010210
[ 5131.310760] PUF Read:0x00000100 at 0xa0010214
[ 5131.310760] PUF Read:0x00000000 at 0xa0010218
[ 5131.310760] PUF Read:0x00010000 at 0xa001021c
[ 5131.310760] PUF Read:0x00000040 at 0xa0010220
[ 5131.310882] PUF Read:0x00000000 at 0xa0010224
[ 5131.310882] PUF Read:0x00500000 at 0xa0010228
[ 5131.310943] PUF Read:0x00000000 at 0xa001022c
[ 5131.310943] PUF Read:0x00000000 at 0xa0010230
[ 5131.310943] PUF Read:0x00001000 at 0xa0010234
[ 5131.311004] PUF Read:0x00000000 at 0xa0010238
[ 5131.311035] PUF Read:0x00000000 at 0xa001023c
[ 5131.311035] PUF Read:0x00000000 at 0xa0010240
[ 5131.311035] PUF Read:0x00000000 at 0xa0010244
[ 5131.311096] PUF Read:0x00000000 at 0xa0010248
[ 5131.311096] PUF Read:0x00000000 at 0xa001024c
[ 5131.311157] PUF Read:0x00000000 at 0xa0010250
[ 5131.311187] PUF Read:0x00000000 at 0xa0010254
[ 5131.311187] PUF Read:0x00440000 at 0xa0010258
[ 5131.311187] PUF Read:0x00000000 at 0xa001025c
[ 5131.311248] PUF Read:0x00400000 at 0xa0010260
[ 5131.311248] PUF Read:0x04001040 at 0xa0010264
[ 5131.311309] PUF Read:0x00004000 at 0xa0010268
[ 5131.311340] PUF Read:0x00000000 at 0xa001026c
[ 5131.311340] PUF Read:0x00000010 at 0xa0010270
