[ 4390.781127] PUF Read:0xaaaaaaaa at 0xa000830c
[ 4390.781188] PUF Read:0xaaaaaa8a at 0xa0008310
[ 4390.781219] PUF Read:0x2aaaaaba at 0xa0008314
[ 4390.781219] PUF Read:0x2beaaaaa at 0xa0008318
[ 4390.781219] PUF Read:0xbaaaaaaa at 0xa000831c
[ 4390.781280] PUF Read:0xaaaa8aaa at 0xa0008320
[ 4390.781280] PUF Read:0xaaaaabaa at 0xa0008324
[ 4390.781341] PUF Read:0xaaaaaaaa at 0xa0008328
[ 4390.781372] PUF Read:0xaaabaaa8 at 0xa000832c
[ 4390.781372] PUF Read:0xaaaaaaae at 0xa0008330
[ 4390.781372] PUF Read:0xaaaaaaaa at 0xa0008334
[ 4390.781433] PUF Read:0xaaaabaaa at 0xa0008338
[ 4390.781433] PUF Read:0xaaaaaaaa at 0xa000833c
[ 4390.781494] PUF Read:0xbaaaaaaa at 0xa0008340
[ 4390.781524] PUF Read:0xaaaaaa2b at 0xa0008344
[ 4390.781524] PUF Read:0xaaaaaaaa at 0xa0008348
[ 4390.781585] PUF Read:0xaaaaabaa at 0xa000834c
[ 4390.781585] PUF Read:0xaaaa8a8a at 0xa0008350
[ 4390.781585] PUF Read:0x8aaaaaaa at 0xa0008354
[ 4390.781646] PUF Read:0xaaaaaaaa at 0xa0008358
[ 4390.781677] PUF Read:0xaaaaaaaa at 0xa000835c
[ 4390.781677] PUF Read:0xaaabaaaa at 0xa0008360
[ 4390.781677] PUF Read:0xaaaaaa2a at 0xa0008364
[ 4390.781738] PUF Read:0xaaaa8aaa at 0xa0008368
[ 4390.781738] PUF Read:0xaaaaaeaa at 0xa000836c
[ 4390.781799] PUF Read:0xaaaaaaaa at 0xa0008370
[ 4390.781829] PUF Read:0xaaaaaaaa at 0xa0008374
[ 4390.781829] PUF Read:0xeaaa8aaa at 0xa0008378
[ 4390.781829] PUF Read:0xaaaaaaaa at 0xa000837c
[ 4390.781890] PUF Read:0xaaaaaaa8 at 0xa0008380
[ 4390.781890] PUF Read:0xaaaaaaaa at 0xa0008384
[ 4390.781951] PUF Read:0xaaaaaaaa at 0xa0008388
[ 4390.781982] PUF Read:0xaaaaaaaa at 0xa000838c
[ 4390.781982] PUF Read:0xaa2aaaab at 0xa0008390
[ 4390.782043] PUF Read:0xaaaaabaa at 0xa0008394
[ 4390.782043] PUF Read:0xaaaaaaaa at 0xa0008398
[ 4390.782043] PUF Read:0xaaa2aaaa at 0xa000839c
[ 4390.782104] PUF Read:0xaaaaaaaa at 0xa00083a0
[ 4390.782135] PUF Read:0xaaaaaaaa at 0xa00083a4
[ 4390.782135] PUF Read:0xaaaaaaaa at 0xa00083a8
[ 4390.782196] PUF Read:0xaaaabaaa at 0xa00083ac
[ 4390.782196] PUF Read:0xaaaaaaa2 at 0xa00083b0
[ 4390.782196] PUF Read:0xaaaaaaaa at 0xa00083b4
[ 4390.782196] PUF Read:0xaaaaaaaa at 0xa00083b8
[ 4390.782287] PUF Read:0xaaaaaaaa at 0xa00083bc
[ 4390.782318] PUF Read:0xaaaaaaaa at 0xa00083c0
[ 4390.782318] PUF Read:0xaeaaaaaa at 0xa00083c4
[ 4390.782379] PUF Read:0xaaaaaaaa at 0xa00083c8
[ 4390.782379] PUF Read:0xaaa2aaaa at 0xa00083cc
[ 4390.782379] PUF Read:0xaaaaaaaa at 0xa00083d0
[ 4390.782440] PUF Read:0xaaabaaaa at 0xa00083d4
[ 4390.782470] PUF Read:0xaa2aaaaa at 0xa00083d8
