[ 1170.351226] PUF Read:0x00000000 at 0xa00082cc
[ 1170.351226] PUF Read:0x00100000 at 0xa00082d0
[ 1170.351226] PUF Read:0x00000000 at 0xa00082d4
[ 1170.351226] PUF Read:0x00000000 at 0xa00082d8
[ 1170.351226] PUF Read:0x00004000 at 0xa00082dc
[ 1170.351226] PUF Read:0x00000000 at 0xa00082e0
[ 1170.351379] PUF Read:0x00000400 at 0xa00082e4
[ 1170.351379] PUF Read:0x00000100 at 0xa00082e8
[ 1170.351379] PUF Read:0x00000001 at 0xa00082ec
[ 1170.351379] PUF Read:0x00000001 at 0xa00082f0
[ 1170.351379] PUF Read:0x00000000 at 0xa00082f4
[ 1170.351379] PUF Read:0x00000000 at 0xa00082f8
[ 1170.351531] PUF Read:0x00000000 at 0xa00082fc
[ 1170.351531] PUF Read:0x00000100 at 0xa0008300
[ 1170.351531] PUF Read:0x00000000 at 0xa0008304
[ 1170.351593] PUF Read:0x00000000 at 0xa0008308
[ 1170.351593] PUF Read:0x00000000 at 0xa000830c
[ 1170.351654] PUF Read:0x00000000 at 0xa0008310
[ 1170.351684] PUF Read:0x00000010 at 0xa0008314
[ 1170.351684] PUF Read:0x01400000 at 0xa0008318
[ 1170.351684] PUF Read:0x10000000 at 0xa000831c
[ 1170.351745] PUF Read:0x00000000 at 0xa0008320
[ 1170.351745] PUF Read:0x00000100 at 0xa0008324
[ 1170.351806] PUF Read:0x00000000 at 0xa0008328
[ 1170.351837] PUF Read:0x00010000 at 0xa000832c
[ 1170.351837] PUF Read:0x00000004 at 0xa0008330
[ 1170.351837] PUF Read:0x00000000 at 0xa0008334
[ 1170.351898] PUF Read:0x00001000 at 0xa0008338
[ 1170.351898] PUF Read:0x00000000 at 0xa000833c
[ 1170.351959] PUF Read:0x10000100 at 0xa0008340
[ 1170.351989] PUF Read:0x00000001 at 0xa0008344
[ 1170.351989] PUF Read:0x00000000 at 0xa0008348
[ 1170.351989] PUF Read:0x00000100 at 0xa000834c
[ 1170.352050] PUF Read:0x00000000 at 0xa0008350
[ 1170.352050] PUF Read:0x00000000 at 0xa0008354
[ 1170.352111] PUF Read:0x00000000 at 0xa0008358
[ 1170.352142] PUF Read:0x00000000 at 0xa000835c
[ 1170.352142] PUF Read:0x00010000 at 0xa0008360
[ 1170.352142] PUF Read:0x00000000 at 0xa0008364
[ 1170.352203] PUF Read:0x00000000 at 0xa0008368
[ 1170.352203] PUF Read:0x00000400 at 0xa000836c
[ 1170.352264] PUF Read:0x00000000 at 0xa0008370
[ 1170.352294] PUF Read:0x00000000 at 0xa0008374
[ 1170.352294] PUF Read:0x40000000 at 0xa0008378
[ 1170.352294] PUF Read:0x00000000 at 0xa000837c
