[ 3849.858886] PUF Read:0xaaaaaeaa at 0xa00081f4
[ 3849.858947] PUF Read:0xaaaaaaa2 at 0xa00081f8
[ 3849.858947] PUF Read:0xaaaaaaaa at 0xa00081fc
[ 3849.859008] PUF Read:0xaaaaaaaa at 0xa0008200
[ 3849.859039] PUF Read:0xaaaaaaaa at 0xa0008204
[ 3849.859039] PUF Read:0xaaaaa2ba at 0xa0008208
[ 3849.859039] PUF Read:0xa8aaaaaa at 0xa000820c
[ 3849.859100] PUF Read:0xaaaaa2a8 at 0xa0008210
[ 3849.859100] PUF Read:0xaaaaaaaa at 0xa0008214
[ 3849.859100] PUF Read:0xaaaaaeaa at 0xa0008218
[ 3849.859191] PUF Read:0xaaaaaaaa at 0xa000821c
[ 3849.859191] PUF Read:0xaaaaaaaa at 0xa0008220
[ 3849.859191] PUF Read:0xaabaaaaa at 0xa0008224
[ 3849.859191] PUF Read:0xaaaaaaaa at 0xa0008228
[ 3849.859283] PUF Read:0xaaaaaaaa at 0xa000822c
[ 3849.859283] PUF Read:0xaaaaafaa at 0xa0008230
[ 3849.859344] PUF Read:0x286aaaaa at 0xa0008234
[ 3849.859374] PUF Read:0xaaaaaaaa at 0xa0008238
[ 3849.859374] PUF Read:0xaaaaaaaa at 0xa000823c
[ 3849.859374] PUF Read:0xaaaaaaaa at 0xa0008240
[ 3849.859436] PUF Read:0xaaaaaaaa at 0xa0008244
[ 3849.859436] PUF Read:0xaaaaaaaa at 0xa0008248
[ 3849.859497] PUF Read:0xaaaaaaaa at 0xa000824c
[ 3849.859527] PUF Read:0xaaaaaaaa at 0xa0008250
[ 3849.859527] PUF Read:0xaabaaaaa at 0xa0008254
[ 3849.859527] PUF Read:0xaaaaaaaa at 0xa0008258
[ 3849.859588] PUF Read:0xaeaeaaaa at 0xa000825c
[ 3849.859588] PUF Read:0xaaaaaaaa at 0xa0008260
[ 3849.859649] PUF Read:0xaaaaaaaa at 0xa0008264
[ 3849.859680] PUF Read:0xaaaa8caa at 0xa0008268
[ 3849.859680] PUF Read:0xaaaabaaa at 0xa000826c
[ 3849.859680] PUF Read:0xaaaaaaaa at 0xa0008270
[ 3849.859741] PUF Read:0xaaaaaaa2 at 0xa0008274
[ 3849.859741] PUF Read:0xaaaaaaea at 0xa0008278
[ 3849.859802] PUF Read:0xaaaaaaaa at 0xa000827c
[ 3849.859832] PUF Read:0xeaaaaaaa at 0xa0008280
[ 3849.859832] PUF Read:0xa2aaaaaa at 0xa0008284
[ 3849.859832] PUF Read:0xaaeaaaaa at 0xa0008288
[ 3849.859893] PUF Read:0xaaaaaaaa at 0xa000828c
[ 3849.859893] PUF Read:0xaaaaaaa8 at 0xa0008290
[ 3849.859954] PUF Read:0xa8aaaaaa at 0xa0008294
[ 3849.859985] PUF Read:0xaaaaaaaa at 0xa0008298
[ 3849.859985] PUF Read:0xaaaaaaaa at 0xa000829c
[ 3849.859985] PUF Read:0xaaaaaaaa at 0xa00082a0
[ 3849.860046] PUF Read:0xaaaabaaa at 0xa00082a4
[ 3849.860046] PUF Read:0xaaaaaaaa at 0xa00082a8
[ 3849.860107] PUF Read:0xaaaaaaaa at 0xa00082ac
[ 3849.860137] PUF Read:0xaaaaaaaa at 0xa00082b0
[ 3849.860137] PUF Read:0xaaaaaaaa at 0xa00082b4
[ 3849.860137] PUF Read:0xaaa8aaea at 0xa00082b8
[ 3849.860198] PUF Read:0xaaaaaaaa at 0xa00082bc
[ 3849.860198] PUF Read:0xaaaaaaaa at 0xa00082c0
[ 3849.860260] PUF Read:0xaaaaaaaa at 0xa00082c4
[ 3849.860290] PUF Read:0xbaaaaaaa at 0xa00082c8
[ 3849.860290] PUF Read:0xaaaaaaaa at 0xa00082cc
[ 3849.860290] PUF Read:0xaabaaaaa at 0xa00082d0
[ 3849.860351] PUF Read:0xaaaaaaaa at 0xa00082d4
[ 3849.860351] PUF Read:0xaaaaaaaa at 0xa00082d8
[ 3849.860412] PUF Read:0xaaaaeaaa at 0xa00082dc
[ 3849.860443] PUF Read:0xaaaaaaaa at 0xa00082e0
[ 3849.860443] PUF Read:0xa2aaaeaa at 0xa00082e4
[ 3849.860443] PUF Read:0xaaaaaaaa at 0xa00082e8
[ 3849.860504] PUF Read:0xaaaaaaab at 0xa00082ec
[ 3849.860504] PUF Read:0xaaaaaaaa at 0xa00082f0
